              PAIR_ID        IID1        H1       IID2        H2       HSR      N  AGE1  AGE2     PARENT       CHILD METHOD   STRENGTH
  SampleAF0_SampleAF5   SampleAF0  0.709749  SampleAF5  0.974960  0.727977   97.0  75.0    50  SampleAF0   SampleAF5    AGE  25.000000
  SampleAF0_SampleAJ6   SampleAF0  0.661246  SampleAJ6  0.937701  0.705178  104.0  75.0    50  SampleAF0   SampleAJ6    AGE  25.000000
  SampleAF1_SampleAF7   SampleAF1  0.624929  SampleAF7  0.957252  0.652837   88.0  75.0    50  SampleAF1   SampleAF7    AGE  25.000000
  SampleAF1_SampleAF8   SampleAF1  0.728039  SampleAF8  0.953760  0.763335   80.0  75.0    50  SampleAF1   SampleAF8    AGE  25.000000
  SampleAF2_SampleAF4   SampleAF2  0.807675  SampleAF4  0.964316  0.837563   73.0  75.0    50  SampleAF2   SampleAF4    AGE  25.000000
  SampleAF2_SampleAF5   SampleAF2  0.756661  SampleAF5  0.973599  0.777180   68.0  75.0    50  SampleAF2   SampleAF5    AGE  25.000000
  SampleAF2_SampleAF7   SampleAF2  0.831308  SampleAF7  0.963258  0.863017   80.0  75.0    50  SampleAF2   SampleAF7    AGE  25.000000
  SampleAF2_SampleAF8   SampleAF2  0.803937  SampleAF8  0.954494  0.842265   82.0  75.0    50  SampleAF2   SampleAF8    AGE  25.000000
  SampleAF3_SampleAF9   SampleAF3  0.798855  SampleAF9  0.933811  0.855478   85.0  75.0    25  SampleAF3   SampleAF9    AGE  50.000000
  SampleAF4_SampleAF9   SampleAF4  0.723850  SampleAF9  0.932116  0.776567   85.0  50.0    25  SampleAF4   SampleAF9    AGE  25.000000
 SampleAF10_SampleAF6  SampleAF10  0.951284  SampleAF6  0.708384  0.744662   84.0  25.0    50  SampleAF6  SampleAF10    AGE  25.000000
 SampleAF10_SampleAF7  SampleAF10  0.949963  SampleAF7  0.724607  0.762774   83.0  25.0    50  SampleAF7  SampleAF10    AGE  25.000000
  SampleAF1_SampleAT3   SampleAF1  0.760055  SampleAT3  0.960782  0.791080  105.0  75.0    75  SampleAT3   SampleAT3    AGE   0.000000
  SampleAG0_SampleAG4   SampleAG0  0.810040  SampleAG4  0.988806  0.819210   80.0  75.0    50  SampleAG0   SampleAG4    AGE  25.000000
  SampleAG0_SampleAG5   SampleAG0  0.793642  SampleAG5  0.987623  0.803587   87.0  75.0    50  SampleAG0   SampleAG5    AGE  25.000000
  SampleAG2_SampleAG4   SampleAG2  0.711793  SampleAG4  0.993513  0.716440   71.0  75.0    50  SampleAG2   SampleAG4    AGE  25.000000
  SampleAG2_SampleAG5   SampleAG2  0.753715  SampleAG5  0.989699  0.761560   78.0  75.0    50  SampleAG2   SampleAG5    AGE  25.000000
  SampleAG1_SampleAG7   SampleAG1  0.782226  SampleAG7  0.991811  0.788684   78.0  75.0    50  SampleAG1   SampleAG7    AGE  25.000000
  SampleAG1_SampleAG8   SampleAG1  0.731265  SampleAG8  0.969893  0.753965   75.0  75.0    50  SampleAG1   SampleAG8    AGE  25.000000
  SampleAG2_SampleAG7   SampleAG2  0.725984  SampleAG7  0.981183  0.739907   89.0  75.0    50  SampleAG2   SampleAG7    AGE  25.000000
  SampleAG2_SampleAG8   SampleAG2  0.720401  SampleAG8  0.959379  0.750904   84.0  75.0    50  SampleAG2   SampleAG8    AGE  25.000000
  SampleAG3_SampleAG9   SampleAG3  0.694061  SampleAG9  0.930760  0.745693   85.0  75.0    25  SampleAG3   SampleAG9    AGE  50.000000
  SampleAG4_SampleAG9   SampleAG4  0.747649  SampleAG9  0.939954  0.795410   77.0  50.0    25  SampleAG4   SampleAG9    AGE  25.000000
  SampleAG1_SampleAZ3   SampleAG1  0.904202  SampleAZ3  0.717333  0.793333   95.0  75.0    75  SampleAZ3   SampleAZ3    AGE   0.000000
 SampleAG10_SampleAG6  SampleAG10  0.952771  SampleAG6  0.825512  0.866433   80.0  25.0    50  SampleAG6  SampleAG10    AGE  25.000000
 SampleAG10_SampleAG7  SampleAG10  0.963034  SampleAG7  0.741077  0.769523   76.0  25.0    50  SampleAG7  SampleAG10    AGE  25.000000
  SampleAH0_SampleAH4   SampleAH0  0.810957  SampleAH4  0.966154  0.839366   69.0  75.0    50  SampleAH0   SampleAH4    AGE  25.000000
  SampleAH0_SampleAH5   SampleAH0  0.829903  SampleAH5  0.968479  0.856914   93.0  75.0    50  SampleAH0   SampleAH5    AGE  25.000000
  SampleAH1_SampleAH7   SampleAH1  0.793099  SampleAH7  0.991051  0.800261   68.0  75.0    50  SampleAH1   SampleAH7    AGE  25.000000
  SampleAH1_SampleAH8   SampleAH1  0.791583  SampleAH8  0.979226  0.808376   68.0  75.0    50  SampleAH1   SampleAH8    AGE  25.000000
  SampleAH2_SampleAH4   SampleAH2  0.690689  SampleAH4  0.956649  0.721987   85.0  75.0    50  SampleAH2   SampleAH4    AGE  25.000000
  SampleAH2_SampleAH5   SampleAH2  0.726409  SampleAH5  0.968683  0.749893   81.0  75.0    50  SampleAH2   SampleAH5    AGE  25.000000
  SampleAH2_SampleAH7   SampleAH2  0.671348  SampleAH7  0.987837  0.679614   83.0  75.0    50  SampleAH2   SampleAH7    AGE  25.000000
  SampleAH2_SampleAH8   SampleAH2  0.760634  SampleAH8  0.988046  0.769836   78.0  75.0    50  SampleAH2   SampleAH8    AGE  25.000000
  SampleAH2_SampleAS0   SampleAH2  0.725465  SampleAS0  0.949378  0.764148   93.0  75.0    75  SampleAS0   SampleAS0    AGE   0.000000
  SampleAH3_SampleAH9   SampleAH3  0.777746  SampleAH9  0.987652  0.787469   80.0  75.0    25  SampleAH3   SampleAH9    AGE  50.000000
  SampleAH4_SampleAH9   SampleAH4  0.734420  SampleAH9  0.984798  0.745757   82.0  50.0    25  SampleAH4   SampleAH9    AGE  25.000000
 SampleAH10_SampleAH6  SampleAH10  0.955350  SampleAH6  0.742851  0.777570   83.0  25.0    50  SampleAH6  SampleAH10    AGE  25.000000
 SampleAH10_SampleAH7  SampleAH10  0.945228  SampleAH7  0.711726  0.752968   69.0  25.0    50  SampleAH7  SampleAH10    AGE  25.000000
  SampleAI0_SampleAI4   SampleAI0  0.677004  SampleAI4  0.988201  0.685088   83.0  75.0    50  SampleAI0   SampleAI4    AGE  25.000000
  SampleAI0_SampleAI5   SampleAI0  0.672429  SampleAI5  0.985751  0.682149   71.0  75.0    50  SampleAI0   SampleAI5    AGE  25.000000
  SampleAI1_SampleAI7   SampleAI1  0.680144  SampleAI7  0.993532  0.684572   81.0  75.0    50  SampleAI1   SampleAI7    AGE  25.000000
  SampleAI2_SampleAI4   SampleAI2  0.831201  SampleAI4  0.994314  0.835954   65.0  75.0    50  SampleAI2   SampleAI4    AGE  25.000000
  SampleAI2_SampleAI5   SampleAI2  0.747007  SampleAI5  1.000000  0.747007   77.0  75.0    50  SampleAI2   SampleAI5    AGE  25.000000
  SampleAI2_SampleAI7   SampleAI2  0.720424  SampleAI7  0.993242  0.725326   77.0  75.0    50  SampleAI2   SampleAI7    AGE  25.000000
  SampleAI1_SampleAI8   SampleAI1  0.754690  SampleAI8  0.967354  0.780160   93.0  75.0    50  SampleAI1   SampleAI8    AGE  25.000000
  SampleAI2_SampleAI8   SampleAI2  0.740136  SampleAI8  0.961222  0.769995   78.0  75.0    50  SampleAI2   SampleAI8    AGE  25.000000
  SampleAI3_SampleAI9   SampleAI3  0.745241  SampleAI9  0.946853  0.787071   74.0  75.0    25  SampleAI3   SampleAI9    AGE  50.000000
  SampleAI4_SampleAI9   SampleAI4  0.754280  SampleAI9  0.948787  0.794995   74.0  50.0    25  SampleAI4   SampleAI9    AGE  25.000000
 SampleAI10_SampleAI6  SampleAI10  0.979966  SampleAI6  0.744279  0.759495   77.0  25.0    50  SampleAI6  SampleAI10    AGE  25.000000
 SampleAI10_SampleAI7  SampleAI10  0.983211  SampleAI7  0.678345  0.689927   75.0  25.0    50  SampleAI7  SampleAI10    AGE  25.000000
  SampleAI1_SampleAO0   SampleAI1  0.684551  SampleAO0  0.913657  0.749243   84.0  75.0    75  SampleAO0   SampleAO0    AGE   0.000000
  SampleAI2_SampleAU2   SampleAI2  0.913395  SampleAU2  0.721200  0.789582  101.0  75.0    75  SampleAU2   SampleAU2    AGE   0.000000
  SampleAJ0_SampleAJ4   SampleAJ0  0.814892  SampleAJ4  0.990130  0.823015   72.0  75.0    50  SampleAJ0   SampleAJ4    AGE  25.000000
  SampleAJ2_SampleAJ4   SampleAJ2  0.705258  SampleAJ4  0.992162  0.710829   84.0  75.0    50  SampleAJ2   SampleAJ4    AGE  25.000000
  SampleAJ0_SampleAJ5   SampleAJ0  0.767100  SampleAJ5  0.993610  0.772034   69.0  75.0    50  SampleAJ0   SampleAJ5    AGE  25.000000
  SampleAJ1_SampleAJ7   SampleAJ1  0.752343  SampleAJ7  0.981279  0.766697   82.0  75.0    50  SampleAJ1   SampleAJ7    AGE  25.000000
  SampleAJ1_SampleAJ8   SampleAJ1  0.742957  SampleAJ8  0.953062  0.779548   86.0  75.0    50  SampleAJ1   SampleAJ8    AGE  25.000000
  SampleAJ2_SampleAJ5   SampleAJ2  0.679338  SampleAJ5  0.997702  0.680903   77.0  75.0    50  SampleAJ2   SampleAJ5    AGE  25.000000
  SampleAJ2_SampleAJ7   SampleAJ2  0.770853  SampleAJ7  0.976980  0.789017   76.0  75.0    50  SampleAJ2   SampleAJ7    AGE  25.000000
  SampleAJ2_SampleAJ8   SampleAJ2  0.681716  SampleAJ8  0.957564  0.711927   81.0  75.0    50  SampleAJ2   SampleAJ8    AGE  25.000000
  SampleAJ3_SampleAJ9   SampleAJ3  0.786906  SampleAJ9  0.982937  0.800566   76.0  75.0    25  SampleAJ3   SampleAJ9    AGE  50.000000
  SampleAJ4_SampleAJ9   SampleAJ4  0.680328  SampleAJ9  0.979129  0.694830   83.0  50.0    25  SampleAJ4   SampleAJ9    AGE  25.000000
  SampleAJ0_SampleAO6   SampleAJ0  0.962820  SampleAO6  0.727073  0.755149   91.0  75.0    50  SampleAJ0   SampleAO6    AGE  25.000000
 SampleAJ10_SampleAJ6  SampleAJ10  0.988408  SampleAJ6  0.820060  0.829677   74.0  25.0    50  SampleAJ6  SampleAJ10    AGE  25.000000
 SampleAJ10_SampleAJ7  SampleAJ10  0.977310  SampleAJ7  0.675276  0.690953   72.0  25.0    50  SampleAJ7  SampleAJ10    AGE  25.000000
  SampleAK0_SampleAK4   SampleAK0  0.738249  SampleAK4  0.935110  0.789479   74.0  75.0    50  SampleAK0   SampleAK4    AGE  25.000000
  SampleAK0_SampleAK5   SampleAK0  0.734868  SampleAK5  0.958699  0.766526   87.0  75.0    50  SampleAK0   SampleAK5    AGE  25.000000
  SampleAK1_SampleAK7   SampleAK1  0.729783  SampleAK7  0.890342  0.819665   79.0  75.0    50  SampleAK1   SampleAK7    AGE  25.000000
  SampleAK1_SampleAK8   SampleAK1  0.737603  SampleAK8  0.904433  0.815542   80.0  75.0    50  SampleAK1   SampleAK8    AGE  25.000000
  SampleAK0_SampleAR2   SampleAK0  0.673629  SampleAR2  0.981651  0.686221   92.0  75.0    75  SampleAR2   SampleAR2    AGE   0.000000
  SampleAK2_SampleAK4   SampleAK2  0.647633  SampleAK4  0.944647  0.685582   85.0  75.0    50  SampleAK2   SampleAK4    AGE  25.000000
  SampleAK2_SampleAK5   SampleAK2  0.666150  SampleAK5  0.941683  0.707404   93.0  75.0    50  SampleAK2   SampleAK5    AGE  25.000000
  SampleAK2_SampleAK7   SampleAK2  0.667149  SampleAK7  0.881544  0.756796   67.0  75.0    50  SampleAK2   SampleAK7    AGE  25.000000
  SampleAK2_SampleAK8   SampleAK2  0.686706  SampleAK8  0.898113  0.764610   80.0  75.0    50  SampleAK2   SampleAK8    AGE  25.000000
  SampleAK3_SampleAK9   SampleAK3  0.712998  SampleAK9  0.987013  0.722379   79.0  75.0    25  SampleAK3   SampleAK9    AGE  50.000000
  SampleAK4_SampleAK9   SampleAK4  0.754825  SampleAK9  0.990219  0.762281   78.0  50.0    25  SampleAK4   SampleAK9    AGE  25.000000
 SampleAK10_SampleAK6  SampleAK10  0.957795  SampleAK6  0.816444  0.852420   76.0  25.0    50  SampleAK6  SampleAK10    AGE  25.000000
 SampleAK10_SampleAK7  SampleAK10  0.953584  SampleAK7  0.644403  0.675769   77.0  25.0    50  SampleAK7  SampleAK10    AGE  25.000000
  SampleAL0_SampleAL4   SampleAL0  0.760761  SampleAL4  0.990102  0.768366   70.0  75.0    50  SampleAL0   SampleAL4    AGE  25.000000
  SampleAL0_SampleAL5   SampleAL0  0.780470  SampleAL5  0.992243  0.786571   89.0  75.0    50  SampleAL0   SampleAL5    AGE  25.000000
  SampleAL2_SampleAL4   SampleAL2  0.710712  SampleAL4  0.989332  0.718375   79.0  75.0    50  SampleAL2   SampleAL4    AGE  25.000000
  SampleAL2_SampleAL5   SampleAL2  0.705539  SampleAL5  0.989021  0.713372   79.0  75.0    50  SampleAL2   SampleAL5    AGE  25.000000
  SampleAL1_SampleAL7   SampleAL1  0.769956  SampleAL7  0.905076  0.850708   87.0  75.0    50  SampleAL1   SampleAL7    AGE  25.000000
  SampleAL1_SampleAL8   SampleAL1  0.715790  SampleAL8  0.982075  0.728855   67.0  75.0    50  SampleAL1   SampleAL8    AGE  25.000000
  SampleAL2_SampleAL7   SampleAL2  0.693586  SampleAL7  0.907431  0.764340   87.0  75.0    50  SampleAL2   SampleAL7    AGE  25.000000
  SampleAL2_SampleAL8   SampleAL2  0.680929  SampleAL8  0.971729  0.700740   78.0  75.0    50  SampleAL2   SampleAL8    AGE  25.000000
  SampleAL3_SampleAL9   SampleAL3  0.818229  SampleAL9  0.932739  0.877232   79.0  75.0    25  SampleAL3   SampleAL9    AGE  50.000000
  SampleAL4_SampleAL9   SampleAL4  0.726869  SampleAL9  0.936927  0.775802   66.0  50.0    25  SampleAL4   SampleAL9    AGE  25.000000
 SampleAL10_SampleAL6  SampleAL10  0.968246  SampleAL6  0.816042  0.842804   80.0  25.0    50  SampleAL6  SampleAL10    AGE  25.000000
  SampleAL0_SampleAV0   SampleAL0  0.666891  SampleAV0  0.948561  0.703056   84.0  75.0    75  SampleAV0   SampleAV0    AGE   0.000000
 SampleAL10_SampleAL7  SampleAL10  0.965773  SampleAL7  0.649741  0.672767   80.0  25.0    50  SampleAL7  SampleAL10    AGE  25.000000
  SampleAM0_SampleAM4   SampleAM0  0.751371  SampleAM4  0.997625  0.753159   82.0  75.0    50  SampleAM0   SampleAM4    AGE  25.000000
  SampleAM0_SampleAM5   SampleAM0  0.734827  SampleAM5  0.944681  0.777858   77.0  75.0    50  SampleAM0   SampleAM5    AGE  25.000000
  SampleAM1_SampleAM7   SampleAM1  0.791420  SampleAM7  0.978697  0.808646   76.0  75.0    50  SampleAM1   SampleAM7    AGE  25.000000
  SampleAM1_SampleAM8   SampleAM1  0.765960  SampleAM8  0.941106  0.813893   82.0  75.0    50  SampleAM1   SampleAM8    AGE  25.000000
  SampleAM2_SampleAM4   SampleAM2  0.808005  SampleAM4  0.988585  0.817335   73.0  75.0    50  SampleAM2   SampleAM4    AGE  25.000000
  SampleAM2_SampleAM5   SampleAM2  0.732303  SampleAM5  0.946180  0.773957   81.0  75.0    50  SampleAM2   SampleAM5    AGE  25.000000
  SampleAM2_SampleAM7   SampleAM2  0.808656  SampleAM7  0.970375  0.833344   79.0  75.0    50  SampleAM2   SampleAM7    AGE  25.000000
  SampleAM2_SampleAM8   SampleAM2  0.763554  SampleAM8  0.944122  0.808745   70.0  75.0    50  SampleAM2   SampleAM8    AGE  25.000000
  SampleAM3_SampleAM9   SampleAM3  0.737418  SampleAM9  0.954965  0.772193   83.0  75.0    25  SampleAM3   SampleAM9    AGE  50.000000
  SampleAM4_SampleAM9   SampleAM4  0.775699  SampleAM9  0.960093  0.807941   67.0  50.0    25  SampleAM4   SampleAM9    AGE  25.000000
 SampleAM10_SampleAM6  SampleAM10  0.967727  SampleAM6  0.729557  0.753888   92.0  25.0    50  SampleAM6  SampleAM10    AGE  25.000000
 SampleAM10_SampleAM7  SampleAM10  0.988350  SampleAM7  0.751452  0.760309   68.0  25.0    50  SampleAM7  SampleAM10    AGE  25.000000
  SampleAN0_SampleAN4   SampleAN0  0.630381  SampleAN4  0.963852  0.654023   73.0  75.0    50  SampleAN0   SampleAN4    AGE  25.000000
  SampleAN0_SampleAN5   SampleAN0  0.718643  SampleAN5  0.995008  0.722249   89.0  75.0    50  SampleAN0   SampleAN5    AGE  25.000000
  SampleAN1_SampleAN7   SampleAN1  0.679331  SampleAN7  0.976993  0.695328   87.0  75.0    50  SampleAN1   SampleAN7    AGE  25.000000
  SampleAN1_SampleAN8   SampleAN1  0.685167  SampleAN8  0.993991  0.689308   88.0  75.0    50  SampleAN1   SampleAN8    AGE  25.000000
  SampleAN2_SampleAN4   SampleAN2  0.810777  SampleAN4  0.969050  0.836672   72.0  75.0    50  SampleAN2   SampleAN4    AGE  25.000000
  SampleAN2_SampleAN5   SampleAN2  0.743483  SampleAN5  0.991221  0.750068   69.0  75.0    50  SampleAN2   SampleAN5    AGE  25.000000
  SampleAN2_SampleAN7   SampleAN2  0.793791  SampleAN7  0.979515  0.810392   73.0  75.0    50  SampleAN2   SampleAN7    AGE  25.000000
  SampleAN2_SampleAN8   SampleAN2  0.722678  SampleAN8  0.993130  0.727677   77.0  75.0    50  SampleAN2   SampleAN8    AGE  25.000000
  SampleAN3_SampleAN9   SampleAN3  0.681911  SampleAN9  0.973342  0.700587   94.0  75.0    25  SampleAN3   SampleAN9    AGE  50.000000
  SampleAN4_SampleAN9   SampleAN4  0.756652  SampleAN9  0.972710  0.777881   67.0  50.0    25  SampleAN4   SampleAN9    AGE  25.000000
 SampleAN10_SampleAN6  SampleAN10  0.950409  SampleAN6  0.813390  0.855832   83.0  25.0    50  SampleAN6  SampleAN10    AGE  25.000000
 SampleAN10_SampleAN7  SampleAN10  0.949143  SampleAN7  0.667425  0.703187   80.0  25.0    50  SampleAN7  SampleAN10    AGE  25.000000
  SampleAO0_SampleAO4   SampleAO0  0.771786  SampleAO4  0.865844  0.891368   77.0  75.0    50  SampleAO0   SampleAO4    AGE  25.000000
  SampleAO0_SampleAO5   SampleAO0  0.744112  SampleAO5  0.883716  0.842026   82.0  75.0    50  SampleAO0   SampleAO5    AGE  25.000000
